ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),TEMPERATURE (F),RELATIVE HUMIDITY (%),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
5.9011,4.0073,5.0512,3.0201,4.1209,8.3706,2.881,-0.1136,-3.3195,1.66,-1.1099,3.364,21974,1.08,-84.41,-3.53,197.33,-27.55,-26.57,8,1016.65,60.2,45.1,53.361,39.081585,-77.497055,212.9,313.7467108,,0,16.129032,,16 / 22,"$GPRMC,164450,A,3904.895125,N,07729.823454,W,0.0,,150117,0.0,E,D*28::$GPGSA,A,3,10,12,14,15,18,20,21,24,27,32,,,1.0,0.7,0.7*3A::$GPGGA,164450,3904.895125,N,07729.823454,W,2,10,0.7,108.0,M,-42.0,M,,*7E::$GPGSV,3,3,22,27,07,277,17,32,33,258,25,08,02,313,*4D::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,22,70,02,091,,80,05,021,,88,21,316,*51",7,2017-01-15 15:55:00:740
9.6786,-1.6287,0.8619,9.6257,-1.6507,0.8893,0.0528,0.0221,-0.0273,0.0417,-0.0411,0.0654,0,-12.32,-42.75,34.53,140.65,9.68,-84.7,3.1,1016.67,59.7,44.2,54.766,39.081577,-77.49706,190.32,313.7467108,,0,9.677419,,16 / 22,"$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E::$GPGGA,,,,,,0,,,,,,,,*66::$GPGSV,3,3,22,27,07,277,17,32,33,258,31,08,02,313,*48::$GPVTG,,T,,M,,N,,K,N*2C::$GLGSV,3,3,22,70,02,091,,80,05,021,,88,21,316,*51",10007,2017-01-15 15:55:10:738
9.6241,-1.5263,0.9008,9.6449,-1.5359,0.8878,-0.0208,0.0096,0.013,0.0442,-0.0451,0.0642,0,-16.6,-48.59,28.74,148.49,9.01,-84.74,3.1,1016.71,59.6,44.3,54.975,39.081573,-77.49705,196.77,312.8872524,,0,9.677419,,16 / 22,"$GPRMC,164510,A,3904.894277,N,07729.822923,W,0.0,,150117,0.0,E,D*24::$GPGSA,A,3,10,12,14,15,18,20,21,24,27,32,,,1.0,0.7,0.7*3A::$GPGGA,164510,3904.894277,N,07729.822923,W,2,10,0.7,104.0,M,-42.0,M,,*7E::$GPGSV,3,3,22,27,07,277,16,32,33,258,27,08,02,313,*4E::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,22,72,52,336,29,70,02,091,,80,05,021,*59",20007,2017-01-15 15:55:20:738
9.6031,-1.5407,0.8912,9.6458,-1.5376,0.8748,-0.0426,-0.0031,0.0164,0.0399,-0.0344,0.0618,0,-16.17,-46.32,28.02,148.32,9.02,-84.82,3.1,1016.61,59.7,43.8,40.856,39.081573,-77.49705,196.77,312.8872524,,0,9.677419,,16 / 22,"$GPRMC,164521,A,3904.894276,N,07729.822950,W,0.0,,150117,0.0,E,D*23::$GPGSA,A,3,10,12,14,15,18,20,21,24,27,32,,,1.0,0.7,0.7*3A::$GPGGA,164521,3904.894276,N,07729.822950,W,2,10,0.7,104.0,M,-42.0,M,,*79::$GPGSV,3,3,22,27,07,277,16,32,33,258,28,08,02,313,*41::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,22,72,52,336,29,70,02,091,,80,05,021,*59",30008,2017-01-15 15:55:30:738
9.6271,-1.5413,0.8751,9.6468,-1.5326,0.8724,-0.0197,-0.0087,0.0027,0.0426,-0.0359,0.063,0,-15.02,-46.54,28.32,148.85,8.99,-84.83,3.1,1016.67,60.7,43.2,28.799,39.081573,-77.49705,196.77,312.8872524,,0,9.677419,,16 / 22,"$GPRMC,164531,A,3904.894270,N,07729.822922,W,0.0,,150117,0.0,E,D*21::$GPGSA,A,3,10,12,14,15,18,20,21,24,27,32,,,1.0,0.7,0.7*3A::$GPGGA,164531,3904.894270,N,07729.822922,W,2,10,0.7,104.0,M,-42.0,M,,*7B::$GPGSV,3,3,22,27,07,277,16,32,33,258,30,08,02,313,*48::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,22,72,52,336,25,70,02,091,,80,05,021,*55",40007,2017-01-15 15:55:40:738
9.6289,-1.5251,0.8619,9.6468,-1.5346,0.8685,-0.0179,0.0095,-0.0066,0.0426,-0.0353,0.0621,0,-15.09,-47.85,29.26,148.51,9,-84.86,3.1,1016.58,61.1,42.8,38.498,39.081573,-77.49705,200,312.8872524,,0,9.677419,,16 / 22,"$GPRMC,164541,A,3904.894266,N,07729.822911,W,0.0,,150117,0.0,E,D*21::$GPGSA,A,3,10,12,14,15,18,20,21,24,27,32,,,1.0,0.7,0.7*3A::$GPGGA,164541,3904.894266,N,07729.822911,W,2,10,0.7,104.0,M,-42.0,M,,*7B::$GPGSV,3,3,22,27,07,277,13,32,33,258,27,08,02,313,*4B::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,22,72,52,336,27,70,02,091,,80,05,021,*57",50007,2017-01-15 15:55:50:739
9.6283,-1.5341,0.8553,9.6454,-1.5423,0.8702,-0.0172,0.0082,-0.0149,0.0371,-0.0331,0.0639,0,-15.21,-47.2,28.26,148.85,9.05,-84.85,3.1,1016.69,62,42,29.54,39.081573,-77.49705,200,312.8872524,,0,9.677419,,16 / 22,"$GPRMC,164551,A,3904.894270,N,07729.822902,W,0.0,,150117,0.0,E,D*25::$GPGSA,A,3,10,12,14,15,18,20,21,24,27,32,,,1.0,0.7,0.7*3A::$GPGGA,164551,3904.894270,N,07729.822902,W,2,10,0.7,104.0,M,-42.0,M,,*7F::$GPGSV,3,3,22,27,07,277,11,32,33,258,27,08,02,313,*49::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,22,72,52,336,23,70,02,091,,80,05,021,*53",60008,2017-01-15 15:56:00:741
9.6085,-1.5437,0.8871,9.6443,-1.5457,0.8769,-0.0357,0.002,0.0099,0.046,-0.0402,0.063,0,-14.72,-47.12,28.26,148.84,9.07,-84.8,3.1,1016.67,62.4,41.6,23.197,39.081573,-77.49705,200,312.8872524,,0,9.677419,,16 / 22,"$GPRMC,164600,A,3904.894264,N,07729.822882,W,0.0,,150117,0.0,E,D*2E::$GPGSA,A,3,10,12,14,15,18,20,21,24,27,32,,,1.0,0.7,0.7*3A::$GPGGA,164600,3904.894264,N,07729.822882,W,2,10,0.7,104.0,M,-42.0,M,,*74::$GPGSV,3,3,22,27,07,277,13,32,33,258,31,08,02,313,*4C::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,22,72,52,336,25,70,02,091,,80,05,021,*55",70007,2017-01-15 15:56:10:739
9.6169,-1.5359,0.8589,9.6448,-1.5466,0.8691,-0.0279,0.0108,-0.0101,0.0435,-0.0396,0.0633,0,-14.68,-47.12,28.25,148.85,9.07,-84.85,3.1,1016.6,62.9,41.2,23.56,39.081573,-77.49705,200,312.8872524,,0,9.677419,,16 / 22,"$GPRMC,164610,A,3904.894258,N,07729.822870,W,0.0,,150117,0.0,E,D*2D::$GPGSA,A,3,10,12,14,15,18,20,21,24,27,32,,,1.0,0.7,0.7*3A::$GPGGA,164610,3904.894258,N,07729.822870,W,2,10,0.7,104.0,M,-42.0,M,,*77::$GPGSV,3,3,22,27,07,277,14,32,33,260,32,08,02,313,*43::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,22,72,52,336,25,70,02,091,,80,05,021,*55",80008,2017-01-15 15:56:20:738
9.6133,-1.555,0.8559,9.6451,-1.5452,0.8684,-0.0318,-0.0099,-0.0125,0.0438,-0.0417,0.0621,0,-13.22,-47.71,29.53,147.65,9.07,-84.86,3.1,1016.6,63.1,41.1,29.559,39.081573,-77.49705,200,312.8872524,,0,9.677419,,16 / 22,"$GPRMC,164620,A,3904.894257,N,07729.822863,W,0.0,,150117,0.0,E,D*23::$GPGSA,A,1,,,,,,,,,,,,,,,*1E::$GPGGA,164620,3904.894257,N,07729.822863,W,2,10,0.7,104.0,M,-42.0,M,,*79::$GPGSV,3,3,22,27,07,277,17,32,33,260,34,08,02,313,*46::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,22,72,52,336,24,70,02,091,,80,05,021,*54",90007,2017-01-15 15:56:30:738
