ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),TEMPERATURE (F),RELATIVE HUMIDITY (%),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
9.8474,-0.1472,0.0479,9.7618,-0.6998,0.6222,0.0855,0.5525,-0.5743,0.0365,-0.0579,0.0447,0,12.19,20.27,25.97,53.38,4.14,-86.27,3.1,991.65,82.9,19,69.922,40.049377,-80.60012,893.55,1086.234147,,130.5,38.709675,220.3,Dec-15,"$GPRMC,205500,A,4002.962513,N,08036.007088,W,70.5,220.3,150117,0.0,E,D*3A::$GPGSA,A,3,01,03,10,14,16,22,25,26,29,31,32,,1.3,0.9,0.8*3B::$GPGGA,205500,4002.962513,N,08036.007088,W,2,11,0.9,309.0,M,-32.0,M,,*78::$GPGSV,3,2,15,25,29,046,26,26,43,178,24,31,72,007,30,32,41,102,20*7B::$GPVTG,220.3,T,220.3,M,70.5,N,130.5,K,D*13::$GLGSV,1,1,15,66,75,317,22,76,76,306,19,75,33,033,26*5D",15010009,2017-01-15 15:55:00:740
9.2129,-0.5908,0.835,9.7467,-0.7257,0.8038,-0.5338,0.135,0.0312,0.0322,-0.0362,0.0584,0,12.32,22.5,26.92,48.43,4.24,-85.29,3.1,993.89,82.9,18.9,70.356,40.046974,-80.602875,845.16,961.2182072,,127.8,45.16129,218.6,Dec-15,"$GPRMC,205510,A,4002.818426,N,08036.172216,W,69.0,218.6,150117,0.0,E,D*35::$GPGSA,A,3,01,03,10,14,16,22,25,26,29,31,32,,1.4,1.1,0.8*35::$GPGGA,205510,4002.818426,N,08036.172216,W,2,11,1.1,294.0,M,-32.0,M,,*78::$GPGSV,3,1,15,03,35,305,19,14,66,074,29,16,15,191,30,22,45,286,24*7B::$GPVTG,218.6,T,218.6,M,69.0,N,127.8,K,D*15::$GLGSV,1,1,15,66,75,317,19,76,76,306,17,75,33,033,27*5A",15020007,2017-01-15 15:55:10:738
10.3705,-0.9349,1.585,9.7388,-0.6314,0.9632,0.6317,-0.3035,0.6218,5.00E-04,-0.0429,0.0755,0,13.26,20.38,31.96,54.66,3.66,-84.41,3.1,996.17,82.9,19.3,69.932,40.044582,-80.605515,777.42,961.2182072,,124.2,35.48387,220,Dec-15,"$GPRMC,205520,A,4002.675081,N,08036.330619,W,67.1,220.0,150117,0.0,E,D*37::$GPGSA,A,3,01,03,10,14,16,22,25,26,29,31,32,,1.3,0.9,0.8*3B::$GPGGA,205520,4002.675081,N,08036.330619,W,2,11,0.9,273.0,M,-32.0,M,,*78::$GPGSV,3,3,15,01,07,261,,10,07,161,,23,06,298,,29,08,088,*79::$GPVTG,220.0,T,220.0,M,67.1,N,124.2,K,D*13::$GLGSV,1,1,15,66,75,317,22,76,76,306,16,75,33,033,25*51",15030007,2017-01-15 15:55:20:738
9.8988,-0.2951,2.0614,9.5622,-0.4288,2.1331,0.3366,0.8848,-0.3625,-0.0215,-0.0408,0.0712,0,13.95,13.18,32.87,61.38,2.54,-77.42,3.1,998.32,82.9,19,70.33,40.04281,-80.6086,780.65,841.005582,,118.8,32.258064,247.4,Dec-15,"$GPRMC,205530,A,4002.568353,N,08036.515825,W,64.1,247.4,150117,0.0,E,D*33::$GPGSA,A,3,01,03,10,14,16,22,25,26,29,31,32,,1.2,0.9,0.8*3A::$GPGGA,205530,4002.568353,N,08036.515825,W,2,11,0.9,274.0,M,-32.0,M,,*7D::$GPGSV,3,3,15,32,41,102,25,10,07,161,,23,06,298,,29,08,088,*7A::$GPVTG,247.4,T,247.4,M,64.1,N,118.8,K,D*15::$GLGSV,1,1,15,66,75,317,26,76,76,306,19,75,33,033,25*5A",15040007,2017-01-15 15:55:30:738
9.7965,-1.4293,2.0309,9.4911,-1.477,1.9767,0.3053,0.0476,0.0542,-0.0215,-0.0218,0.0657,0,15.31,0.27,32.37,68.32,8.62,-78.23,3.1,999.34,82.9,19.2,70.173,40.04258,-80.61234,700,841.005582,,112.5,35.48387,276.5,Dec-15,"$GPRMC,205540,A,4002.554736,N,08036.740442,W,60.7,276.5,150117,0.0,E,D*32::$GPGSA,A,3,01,03,10,14,16,22,25,26,29,31,32,,1.2,0.9,0.8*3A::$GPGGA,205540,4002.554736,N,08036.740442,W,2,11,0.9,249.0,M,-32.0,M,,*73::$GPGSV,3,3,15,31,72,007,28,32,41,102,23,10,07,161,,29,08,088,*72::$GPVTG,276.5,T,276.5,M,60.7,N,112.5,K,D*10::$GLGSV,1,1,15,66,75,317,31,76,76,306,31,75,33,033,23*50",15050007,2017-01-15 15:55:40:738
9.8797,-0.5926,0.8583,9.7391,-0.9432,0.6564,-0.4933,0.3507,0.2019,0.0258,-0.049,0.0581,0,9.46,-2.9,29.57,88.28,5.55,-86.13,3.1,999.41,82.9,19,69.969,40.04365,-80.61578,677.42,770.9040615,,115.2,29.032257,293.6,Dec-15,"$GPRMC,205550,A,4002.619112,N,08036.947102,W,62.2,293.6,150117,0.0,E,D*3E::$GPGSA,A,3,01,03,10,14,16,22,25,26,29,31,32,,1.1,0.8,0.7*37::$GPGGA,205550,4002.619112,N,08036.947102,W,2,11,0.8,242.0,M,-32.0,M,,*7A::$GPGSV,3,3,15,29,08,088,18,31,72,007,24,32,41,102,28,10,07,161,*7C::$GPVTG,293.6,T,293.6,M,62.2,N,115.2,K,D*17::$GLGSV,1,1,15,66,75,317,32,76,76,306,32,75,33,033,17*57",15060008,2017-01-15 15:55:50:739
9.7456,-1.7795,-0.0215,9.6545,-1.7208,0.0025,0.0914,-0.0569,-0.0216,0.0842,-0.0551,0.0691,0,12.17,10.18,27.5,67.18,10.08,-89.95,3.1,999.74,82.9,19.1,71.031,40.04456,-80.61916,670.97,770.9040615,,108,35.48387,281.3,Dec-15,"$GPRMC,205600,A,4002.673452,N,08037.149757,W,58.3,281.3,150117,0.0,E,D*3A::$GPGSA,A,3,01,03,10,14,16,22,25,26,29,31,32,,1.1,0.8,0.7*37::$GPGGA,205600,4002.673452,N,08037.149757,W,2,11,0.8,240.0,M,-32.0,M,,*72::$GPGSV,3,1,15,01,07,261,17,03,35,305,29,14,66,074,29,16,15,191,23*74::$GPVTG,281.3,T,281.3,M,58.3,N,108.0,K,D*11::$GLGSV,1,1,15,66,75,317,13,76,76,306,20,75,33,033,19*59",15070010,2017-01-15 15:56:00:741
10.1107,-1.081,1.0259,9.7122,-0.7293,1.1454,0.3985,-0.3517,-0.1195,0.0325,-0.0331,0.0816,0,15.03,11.89,28.83,63.77,4.26,-83.27,3.1,1000.31,82.9,19.1,71.319,40.044247,-80.623116,648.39,755.510907,,110.7,32.258064,259.7,Dec-14,"$GPRMC,205611,A,4002.654735,N,08037.386673,W,59.8,259.7,150117,0.0,E,D*30::$GPGSA,A,3,01,03,10,14,16,22,25,26,29,31,32,,1.1,0.8,0.7*37::$GPGGA,205611,4002.654735,N,08037.386673,W,2,11,0.8,233.0,M,-32.0,M,,*77::$GPGSV,3,3,14,31,72,008,22,32,41,104,24,10,06,161,*45::$GPVTG,259.7,T,259.7,M,59.8,N,110.7,K,D*15::$GLGSV,1,1,14,66,75,317,21,76,76,306,25,75,33,033,18*5D",15080008,2017-01-15 15:56:10:739
9.6546,-1.4216,1.391,9.5991,-1.1597,1.6382,0.0556,-0.2619,-0.2471,-7.00E-04,-0.0347,0.0783,0,12.83,11.83,31.67,64.4,6.79,-80.32,3.1,1000.3,83,19.1,69.756,40.043808,-80.626465,645.16,755.510907,,97.2,32.258064,263.1,Dec-15,"$GPRMC,205621,A,4002.628364,N,08037.587953,W,52.5,263.1,150117,0.0,E,D*3B::$GPGSA,A,3,01,03,10,14,16,22,25,26,29,31,32,,1.2,0.9,0.8*3A::$GPGGA,205621,4002.628364,N,08037.587953,W,2,11,0.9,232.0,M,-32.0,M,,*75::$GPGSV,3,3,15,31,72,008,32,32,41,104,28,10,06,161,,23,06,298,*7D::$GPVTG,263.1,T,263.1,M,52.5,N,97.2,K,D*28::$GLGSV,1,1,15,66,75,317,32,76,76,306,30,75,33,033,17*55",15090007,2017-01-15 15:56:20:738
9.5571,-1.4341,0.993,9.5545,-1.5433,1.5812,0.0026,0.1244,-0.3361,0.0118,0.0072,0.0517,0,21.49,3.18,31.76,70.81,9.05,-80.6,3.1,999.97,82.9,19.1,69.286,40.04424,-80.62923,658.06,756.8802433,,99,32.258064,290,Dec-15,"$GPRMC,205630,A,4002.654360,N,08037.753459,W,53.5,290.0,150117,0.0,E,D*34::$GPGSA,A,3,01,03,10,14,16,22,25,26,29,31,32,,1.2,0.9,0.8*3A::$GPGGA,205630,4002.654360,N,08037.753459,W,2,11,0.9,236.0,M,-32.0,M,,*72::$GPGSV,3,3,15,29,09,088,22,31,72,008,23,32,41,104,29,10,06,161,*7A::$GPVTG,290.0,T,290.0,M,53.5,N,99.0,K,D*25::$GLGSV,1,1,15,66,75,317,34,76,76,306,31,75,33,033,22*54",15100007,2017-01-15 15:56:30:738
